L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,"IC50Dark,μM","IC50Dark,μM_clean","IC50Light,μM","IC50Light,μM_clean","λex,nm",Cell_line,"Time,h",DOI,Year
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir3,"2,4 ± 0,2","2,4",,,,4T1,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir4,"6,2 ± 0,7","6,2",,,,4T1,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir5,"4,9 ± 0,5","4,9",,,,4T1,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir6,"4,2 ± 0,5","4,2",,,,4T1,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,"4,9 ± 0,6","4,9",,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir2,"4,0 ± 0,4",4,,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir3,"3,1 ± 0,4","3,1",,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir4,"7,1 ± 0,9","7,1",,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir5,"4,9 ± 0,6","4,9",,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir6,"4,0 ± 0,8",4,,,,HT-29,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,"5,8 ± 0,4","5,8",,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir2,"4,1 ± 0,3","4,1",,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir3,"2,7 ± 0,5","2,7",,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir4,"7,0 ± 0,5",7,,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir5,"4,8 ± 0,5","4,8",,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir6,"3,6 ± 0,9","3,6",,,,HepG2,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,"4,1 ± 0,4","4,1",,,,HeLa,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir2,"3,7 ± 0,2","3,7",,,,HeLa,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir3,"3,3 ± 0,3","3,3",,,,HeLa,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/C1CCCCC1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir4,"9,9 ± 1,0","9,9",,,,HeLa,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/c1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir5,"5,5 ± 0,6","5,5",,,,HeLa,24,10.1039/c9qi01492f,2020
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C(=N/CCc1ccccc1)\c1ccccc1P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir6,"4,8 ± 0,7","4,8",,,,HeLa,24,10.1039/c9qi01492f,2020
Cc1c(C)c(C)[c-](C)c1C,[c-]1ccccc1-n1cc2ccccc2n1,[Cl-],,,5a,"3,33 ± 0,09 ","3,33",,,,MDA-MB-231,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,Cc1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5b,"2,77 ± 0,06","2,77",,,,MDA-MB-231,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,CC(C)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5c,"1,19 ± 0,05","1,19",,,,MDA-MB-231,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,FC(F)(F)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5d,"5,07 ± 0,11","5,07",,,,MDA-MB-231,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,[c-]1ccccc1-n1cc2ccccc2n1,[Cl-],,,5a,"0,95 ± 0,03 ","0,95",,,,MDA-MB-468,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,Cc1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5b,"0,75 ± 0,06 ","0,75",,,,MDA-MB-468,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,CC(C)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5c,"0,52 ± 0,02","0,52",,,,MDA-MB-468,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,FC(F)(F)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5d,"4,13 ± 0,08 ","4,13",,,,MDA-MB-468,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,[c-]1ccccc1-n1cc2ccccc2n1,[Cl-],,,5a,"3,47 ± 0,11 ","3,47",,,,HCT116,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,Cc1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5b,"1,59 ± 0,04 ","1,59",,,,HCT116,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,CC(C)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5c,"1,36 ± 0,01","1,36",,,,HCT116,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,FC(F)(F)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5d,"5,4 ± 0,09 ","5,4",,,,HCT116,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,[c-]1ccccc1-n1cc2ccccc2n1,[Cl-],,,5a,"23,95 ± 0,28","23,95",,,,HEK-293,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,Cc1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5b,"22,92 ± 0,02","22,92",,,,HEK-293,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,CC(C)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5c,"18,57 ± 0,05","18,57",,,,HEK-293,48,10.1021/acs.inorgchem.1c02193,2021
Cc1c(C)c(C)[c-](C)c1C,FC(F)(F)c1c[c-]c(-n2cc3ccccc3n2)cc1,[Cl-],,,5d,"17,23 ± 0,12","17,23",,,,HEK-293,48,10.1021/acs.inorgchem.1c02193,2021
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,1a,6.3 ± 0.4,"6,3",,,,HeLa,48,10.1021/ic801818x,2008
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Cc1ccnc(-c2cc(C(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,1b,6.0 ± 0.3,6,,,,HeLa,48,10.1021/ic801818x,2008
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1ccnc(-c2cc(C(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,2a,3.3 ± 0.4,"3,3",,,,HeLa,48,10.1021/ic801818x,2008
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NCCCCCC(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,2b,2.4 ± 0.3,"2,4",,,,HeLa,48,10.1021/ic801818x,2008
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Cc1ccnc(-c2cc(C(=O)NCCCCCC(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,3a,2.4 ± 0.2,"2,4",,,,HeLa,48,10.1021/ic801818x,2008
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1ccnc(-c2cc(C(=O)NCCCCCC(=O)NCCc3c[nH]c4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,3b,1.1 ± 0.1,"1,1",,,,HeLa,48,10.1021/ic801818x,2008
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCNC(=O)c1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F,ppy-1,26.4 ± 3.4,"26,4",,,,HeLa,48,10.1021/ic902443e,2010
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CCNC(=O)c1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F,pq-1,5.5 ± 0.7,"5,5",,,,HeLa,48,10.1021/ic902443e,2010
Cc1c(C)c(C)[c-](C)c1C,c1ccc(-c2ccccn2)nc1,[Cl-],,[Cl-],1,>100,>100,,,,A2780,24,10.1021/ic200607j,2011
Cc1c(C)c(C)[c-](C)c1C,[c-]1ccccc1-c1ccccn1,[Cl-],,,2,"10,8","10,8",,,,A2780,24,10.1021/ic200607j,2011
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,362 ± 28.2,362,5.37 ± 0.36 ,"5,37",450,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,704 ± 51.6,704,8.76 ± 0.69 ,"8,76",450,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,242 ± 18.2,242,1.35 ± 0.14,"1,35",450,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,314 ± 26.4,314,5.91 ± 0.06,"5,91",450,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,362 ± 28.2,362,3.73 ± 0.26 ,"3,73",800,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,704 ± 51.6,704,6.38 ± 0.72 ,"6,38",800,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,242 ± 18.2,242,0.96 ± 0.08 ,"0,96",800,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,314 ± 26.4,314,3.86 ± 0.42,"3,86",800,A549,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,224 ± 20.6,224,7.86 ± 0.56 ,"7,86",450,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,463 ± 51.7,463,9.72 ± 0.72,"9,72",450,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,164 ± 10.3,164,4.31 ± 0.27 ,"4,31",450,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,216 ± 18.5,216,9.24 ± 0.37 ,"9,24",450,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,224 ± 20.6,224,5.53 ± 0.42 ,"5,53",800,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,463 ± 51.7,463,8.43 ± 0.85 ,"8,43",800,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,164 ± 10.3,164,2.84 ± 0.14 ,"2,84",800,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,216 ± 18.5,216,7.61 ± 0.81 ,"7,61",800,MCF-7,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,205 ± 17.8,205,8.52 ± 0.68,"8,52",450,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,418 ± 34.6,418,13.6 ± 0.83 ,"13,6",450,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,187 ± 13.6,187,6.36 ± 0.52,"6,36",450,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,263 ± 19.0,263,9.72 ± 0.76 ,"9,72",450,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,205 ± 17.8,205,6.49 ± 0.43 ,"6,49",800,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,418 ± 34.6,418,11.7 ± 0.96 ,"11,7",800,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,187 ± 13.6,187,4.51 ± 0.23 ,"4,51",800,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir4,263 ± 19.0,263,7.13 ± 0.52,"7,13",800,22Rv1 ,24,10.1021/acs.inorgchem.0c01509,2020
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(CN(Cc2ccccn2)c2cc3cccnc3c3ncccc23)nc1,,F[P-](F)(F)(F)(F)F,1a,4.1 ± 0.3,"4,1",,,,HeLa,48,10.1021/ic201153d,2011
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,c1ccc(CN(Cc2ccccn2)c2cc3cccnc3c3ncccc23)nc1,,F[P-](F)(F)(F)(F)F,1b,3.8 ± 0.2,"3,8",,,,HeLa,48,10.1021/ic201153d,2011
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc(CN(Cc2ccccn2)c2cc3cccnc3c3ncccc23)nc1,,F[P-](F)(F)(F)(F)F,2a,4.5 ± 0.8,"4,5",,,,HeLa,48,10.1021/ic201153d,2011
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,c1ccc(CN(Cc2ccccn2)c2cc3cccnc3c3ncccc23)nc1,,F[P-](F)(F)(F)(F)F,2b,3.0 ± 0.7,3,,,,HeLa,48,10.1021/ic201153d,2011
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1cc2cccnc2c2ncccc12,,F[P-](F)(F)(F)(F)F,3a,3.1 ± 0.5,"3,1",,,,HeLa,48,10.1021/ic201153d,2011
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,CN(C)c1cc2cccnc2c2ncccc12,,F[P-](F)(F)(F)(F)F,3b,1.0 ± 0.08,1,,,,HeLa,48,10.1021/ic201153d,2011
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CN(C)c1cc2cccnc2c2ncccc12,,F[P-](F)(F)(F)(F)F,4a,54.1 ± 5.1,"54,1",,,,HeLa,48,10.1021/ic201153d,2011
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,CN(C)c1cc2cccnc2c2ncccc12,,F[P-](F)(F)(F)(F)F,4b,34.7 ± 7.1,"34,7",,,,HeLa,48,10.1021/ic201153d,2011
Cc1c(C)c(C)[c-](C2CCCCC2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir1,167.0 ± 2.7,167,,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir2,182.5 ± 3.1,"182,5",,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
COc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir3,193.4 ± 2.5,"193,4",,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccccc2F)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir4,38.6 ± 0.5,"38,6",,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccc(F)cc2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir5,50.5 ± 0.7,"50,5",,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccc(F)cc2F)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir6,50.3 ± 1.2,"50,3",,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir7,51.0 ± 0.8,51,,,,A549,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](C2CCCCC2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir1,164.0 ± 3.0,164,,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir2,177.5 ± 3.5,"177,5",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
COc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir3,173.5 ± 2.7,"173,5",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccccc2F)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir4,35.6 ± 1.8,"35,6",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccc(F)cc2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir5,32.6 ± 1.4,"32,6",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2ccc(F)cc2F)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir6,41.1 ± 1.7,"41,1",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir7,33.1 ± 1.0,"33,1",,,,HeLa,48,10.1021/acs.inorgchem.9b03006,2019
Cc1c(C)c(C)[c-](C2CCCCC2)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir1,183.2 ± 2.1,"183,2",,,,HepG2,48,10.1021/acs.inorgchem.9b03006,2019
Cc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir2,175.0 ± 2.8,175,,,,HepG2,48,10.1021/acs.inorgchem.9b03006,2019
COc1ccccc1-[c-]1c(C)c(C)c(C)c1C,CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1/N=C/c1ccccn1,[Cl-],,,Ir3,179.3 ± 3.2,"179,3",,,,HepG2,48,10.1021/acs.inorgchem.9b03006,2019
