Name,LigandSmiles,Metal,classification
CENREU,C#O.C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1,Nb,11.0
CENZUS,CC(C)(C)N.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl.Cl,Nb,6.0
CETBAE,Cl.Cl.Cl.Cl.S,Nb,5.0
CETJIW,CC(C)(C)N.CC(C)N=C(Nc1ccc(Br)cc1)NC(C)C.Cc1ccccc1.Cc1ccccc1,Nb,5.0
CEWZIP,COc1ccc(N)cc1.C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1.Cl,Nb,12.0
CFNTNB,C#N.Cl.Cl.Cl.Cl.Cl,Nb,6.0
CICPOV,Cl.Cl.O=C(Oc1ccccc1)c1cccc1.O=C(Oc1ccccc1)c1cccc1,Nb,12.0
CICPUB,Br.Br.CCOC(=O)c1cccc1.CCOC(=O)c1cccc1,Nb,12.0
CICQAI,Br.Br.COC(=O)c1cccc1.COC(=O)c1cccc1,Nb,12.0
CIDZEX,CC(C)c1cccc(C(C)C)c1O.COCCOC.Cc1cccc(C)c1N.Cl.Cl,Nb,6.0
CIDZIB,COCCOC.Cc1cccc(C)c1N.Cl.Cl.Oc1c(-c2ccccc2)cccc1-c1ccccc1,Nb,6.0
CIDZOH,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)c1cccc(C(C)C)c1O.Cc1cccc(C)c1N,Nb,4.0
CIDZUN,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)c1cccc(C(C)(C)C)c1O.Cc1cccc(C)c1N,Nb,4.0
CIFBAX,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.Oc1c(F)c(F)c(F)c(F)c1F.Oc1c(F)c(F)c(F)c(F)c1F.Oc1c(F)c(F)c(F)c(F)c1F,Nb,6.0
CIFBEB,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.Cc1cccc(C)c1N.OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,Nb,5.0
CIFBIF,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.Cc1cccc(C)c1N.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F,Nb,5.0
CIFBOL,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.Cc1cccc(C)c1N.Oc1c(F)c(F)c(F)c(F)c1F,Nb,5.0
CIGXAT,CNC.CNC[PH](N(C)C)(N(C)C)N(C)C.Cl.Cl.Cl.Cl,Nb,7.0
CIQJUH,c1ccc(Pc2ccccc2)cc1.c1ccc(Pc2ccccc2)cc1.c1cccc1.c1cccc1,Nb,12.0
CIRYOS,CC(C)c1cccc(C(C)C)c1N.CP(C)C.Cl[SiH](Cl)Cl.c1cccc1,Nb,8.0
CIRYUY,CC(C)c1cccc(C(C)C)c1N.CP(C)C.[SiH3]c1ccccc1.c1cccc1,Nb,8.0
CIRZAF,CP(C)c1ccccc1.Cl.[H][Si](C)(C)Nc1c(C)cccc1C.c1cccc1,Nb,10.0
CIXLUT,Cc1cccc(C)c1N.Cc1cccc(C)c1NCc1ccccn1.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F,Nb,5.0
CIXMAA,CC(C)c1cccc(C(C)C)c1N.Cc1cccc(C)c1NCc1ccccn1.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F,Nb,5.0
CIXMEE,C.C.CC(C)c1cccc(C(C)C)c1N.Cc1cccc(C)c1NCc1ccccn1,Nb,5.0
CIXMII,C[Si](C)(C)C.C[Si](C)(C)C.Cc1cccc(C)c1N.Cc1cccc(C)c1NCc1ccccn1,Nb,5.0
CIXNEF,C.C.Cc1cccc(C)c1NCc1ccccn1.Cc1ccccc1N,Nb,5.0
CLASNB,C[As](C)c1ccccc1[As](C)C.C[As](C)c1ccccc1[As](C)C.Cl.Cl.Cl.Cl,Nb,8.0
CMDTCN,CCN(CC)C(=S)S.CCN(CC)C(=S)S.CO.CO.Cl,Nb,7.0
COCBUT,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.F.c1ccccc1,Nb,5.0
COCCAA,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.F.Fc1ccccc1,Nb,5.0
COCGAE,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.F.Fc1ccc(F)c(F)c1,Nb,5.0
COJYEF,Cl.Cl.Cl.O.O[PH](c1ccccc1)(c1ccccc1)c1ccccc1.O[PH](c1ccccc1)(c1ccccc1)c1ccccc1,Nb,6.0
COTDAQ,Cl.Cl.Cl.Cl.O.O,Nb,6.0
COTDEU,Cl.Cl.Cl.Cl.O.O=P(O)(Cl)Cl,Nb,6.0
COXHIG,C[Si](C)(C)C.c1cccc1.c1cccc1,Nb,12.0
COXNOS,C#O.Cl.c1cccc1.c1cccc1,Nb,12.0
CPCLNB,Cl.Cl.c1cccc1.c1cccc1,Nb,12.0
CPHPNB,C#O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cccc1,Nb,8.0
CPNBCH,[C+]#[O-].c1cccc1.c1cccc1,Nb,11.0
CPNBCS,C#O.S.c1cccc1.c1cccc1,Nb,12.0
CPNBHB,[H][BH2][H].c1cccc1.c1cccc1,Nb,12.0
CUBDIO,CC#N.CC(C)(C)c1cc(C(c2cccc(C(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(C(c2cccc(C(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.Cl,Nb,6.0
CUCGEP,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F,Nb,5.0
CUDNOE,C#O.C#O.C#O.CSC.c1cccc1,Nb,9.0
CUFCOW,Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc([N-]CC(C)(C)C)c1.[AsH3],Nb,4.0
CUFCUC,CC(C)(C)c1cc(C(C)(C)C)c(N=[P+]=[As-])c(C(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1,Nb,5.0
CUHVIK,CCP(CC)CC.CCP(CC)CC.Cl.Cl.Cl.Cl,Nb,6.0
CUHVOQ,CCP(c1ccccc1)c1ccccc1.CCP(c1ccccc1)c1ccccc1.Cl.Cl.Cl.Cl,Nb,6.0
CUWYAV,Cl.Cl.Cl.Cl.Cl.Cl,Nb,6.0
CUWYID,Cl.Cl.Cl.Cl.Cl.[Cl-],Nb,6.0
CYANBA,CC#N.CC#N.Cl.Cl.Cl.Cl,Nb,6.0
DAKYAT,C1CCOC1.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.I,Nb,5.0
DAPKUA,Cc1ccc(C#Cc2ccc(C)cc2)cc1.Cc1cccc1.Cl.Cl,Nb,9.0
DASGIP,F.F.F.F.F.[F-],Nb,6.0
DAXSEA,CP(C)CCP(C)C.CP(C)CCP(C)C.Cc1ccc(O)cc1.Cc1ccc(O)cc1,Nb,6.0
DAXSOK,C#O.C#O.CP(C)CCP(C)C.CP(C)CCP(C)C.Cc1cc(C)cc(O)c1,Nb,7.0
DEDFIB,C[Si](C)(C)C.C[Si](C)(C)C.c1cccc1.c1cccc1,Nb,12.0
DEDRAF,CCN(CC)C(=S)S.CCN(CC)C(=S)S.CCN(CC)C(=S)S.CCN(CC)C(=S)S,Nb,8.0
DEDREJ,CCN(CC)C(=S)S.CCN(CC)C(=S)S.CCN(CC)C(=S)S.S,Nb,7.0
DEJFEE,CC#CC.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl.[H]C1CCC1,Nb,8.0
DEQKAL,C[SiH](C)Cl.c1cccc1.c1cccc1,Nb,11.0
DEQKOZ,C[SiH](C)F.C[SiH](C)F.c1cccc1.c1cccc1,Nb,12.0
DEQKUF,C[SiH](C)Br.C[SiH](C)Br.c1cccc1.c1cccc1,Nb,12.0
DETQEB,CC(C)c1cccc(C(C)C)c1NC=CNc1c(C(C)C)cccc1C(C)C.Cl.Cl.Cl.O,Nb,6.0
DEVYOS,Br.Br.Br.Br.CP(C)c1ccccc1.CP(C)c1ccccc1.CP(C)c1ccccc1,Nb,7.0
DEVYUY,Br.Br.Br.CP(C)c1ccccc1.CP(C)c1ccccc1.CP(C)c1ccccc1,Nb,6.0
DICVIX,C=C=NC(C)(C)C.CC(C)c1cccc(C(C)C)c1O.Cc1ccc(Nc2ccc(C)cc2P(C(C)C)C(C)C)c(P(C(C)C)C(C)C)c1.O,Nb,6.0
DICVUJ,C=CC12CC3CC(CC(C3)C1)C2.CC(C)c1cccc(C(C)C)c1O.Cc1ccc(Nc2ccc(C)cc2[P+](P)(C(C)C)C(C)C)c(P(C(C)C)C(C)C)c1,Nb,6.0
DIFLOV,OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F.[O-]C(C(F)(F)F)C(F)(F)F,Nb,6.0
DIJBOR,C.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1.Cc1ccc(C(c2cccc2)c2ccc(C)cc2)cc1.O,Nb,12.0
