smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
CCOC1=C([C](OCC)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)[C@H](c2ccccc2)C(c2ccccc2)=C1,HALMUD,C#O.C#O.C#O.C#O.C#O.CCOCC1=C(OCC)C=C(c2ccccc2)C1c1ccccc1,W,6.0,0,6
[H]c12->[Fe]34567(<-c(c->3c->4c->51C)c->62)<-N(=C(C)C(C)=N->7c1c(C)cccc1C)c1c(C)cccc1C,AWOPAF,CC(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C.Cc1ccccc1,Fe,8.0,0,6
CCP(CC)(CC)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n1ccc(C#Cc2ccc([N+](=O)[O-])cc2)cc1,YUBHUY,C#O.C#O.C#O.C#O.CCP(CC)CC.O=[N+]([O-])c1ccc(C#Cc2ccncc2)cc1,W,6.0,0,6
[H]c12->[Fe]3456789%10%11(<-c(c->3c->4c->51C)c->62)<-B1(C)c->72ccccc->82B->9(C)c->%102ccccc->%1121,YOBCUN,CB1c2ccccc2B(C)c2ccccc21.Cc1ccccc1,Fe,12.0,0,6
CCOC(/C=C(\OC(=O)c1ccc(OC)cc1)c1ccc(OC)cc1)=C/[C](OCC)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,HETMOI,C#O.C#O.C#O.C#O.C#O.CCOCC=C(C=C(OC(=O)c1ccc(OC)cc1)c1ccc(OC)cc1)OCC,W,6.0,0,6
C=CCP(Cl)(C([Si](C)(C)C)[Si](C)(C)C)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,VORCAJ,C#O.C#O.C#O.C#O.C#O.C=CCP(Cl)C([Si](C)(C)C)[Si](C)(C)C,W,6.0,0,6
CC[O+]=[C-](C=C(C=Cc1ccccc1)NC(C)C)->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,EGEXUJ,C#O.C#O.C#O.C#O.C#O.CCOCC=C(C=Cc1ccccc1)NC(C)C,W,6.0,0,6
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)[C]2->[Ni](<-[C]=O)(<-[C]=O)<-[C]=O)c(C)c1,KAHZID,C#O.C#O.C#O.Cc1cc(C)c(N2C=N(c3c(C)cc(C)cc3C)CC2)c(C)c1,Ni,4.0,0,6
O=C1OC(=O)C2->[Pd]3(<-[C]4N(CCP->3(c3ccccc3)c3ccccc3)C=CN4Cc3ccccc3)<-C=21,UNEYAP,C1=CN(Cc2ccccc2)CN1CCP(c1ccccc1)c1ccccc1.O=C1C=CC(=O)O1,Pd,4.0,0,6
C[Si]12CS(c3ccccc3)->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-S(C1)c1ccccc1)<-S(C2)c1ccccc1,MEHBAC,C#O.C#O.C#O.C[Si](CSc1ccccc1)(CSc1ccccc1)CSc1ccccc1,Cr,6.0,0,6
Cc1cc(C)c(N2C=CN3P(C(C)(C)C)(C(C)(C)C)->[Pd]4(<-[C]23)<-C2=C->4C(=O)OC2=O)c(C)c1,GERKAR,Cc1cc(C)c(N2C=CN(P(C(C)(C)C)C(C)(C)C)=C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
Cc1cc(C)c(N2C=CN3CCP(c4ccccc4)(c4ccccc4)->[Pd]4(<-[C]32)<-C2=C->4C(=O)OC2=O)c(C)c1,UNEYET,Cc1cc(C)c(N2C=CN(CCP(c3ccccc3)c3ccccc3)C2)c(C)c1.O=C1C=CC(=O)O1,Pd,4.0,0,6
